quantity,healthy_mean,failed_mean,shift_%
wear_torque_strain_minNm,4213.842707794225,7187.938348082596,70.57918025243968
torque_per_rpm,0.02655336221311549,0.03663756171103301,37.9771097045354
Tool wear [min],106.69371700652107,143.78171091445427,34.76117896020662
Torque [Nm],39.62965531518476,50.16814159292036,26.59242477362047
cooling_load_index,628.9989292486998,786.0112029286474,24.96224816590531
mechanical_power_W,6244.547534104533,7282.81948539945,16.62685639951342
temp_differential_K,10.0215712659145,9.403834808259585,-6.164067901766751
Rotational speed [rpm],1540.2600144912535,1496.486725663717,-2.8419415173869114
Air temperature [K],299.9739985508746,300.88643067846607,0.3041704054348892
Process temperature [K],309.99556981678916,310.2902654867257,0.0950644778925984
